title|link|summary|parss_primesponsor|parss_cosponsors|parss_lastaction|parss_enacted|parss_passedhouse|parss_passedsenate|published|id
House Bill 381 Printer's Number 348|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=381&pn=348|An Act amending Title 74 (Transportation) of the Pennsylvania Consolidated Statutes, in turnpike, further providing for collection and disposition of tolls and other revenue....|Representative ISAACSON|CONKLIN, CIRESI, HANBIDGE, HILL-EVANS, MADDEN and SANCHEZ|Referred to TRANSPORTATION,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:05:47 GMT|20230HB381P348
House Bill 380 Printer's Number 347|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=380&pn=347|An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in sales and use tax, further providing for exclusions from tax....|Representative ISAACSON|CONKLIN, CIRESI, GIRAL, HANBIDGE, HILL-EVANS, MADDEN and SANCHEZ|Referred to FINANCE,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:05:23 GMT|20230HB380P347
House Bill 379 Printer's Number 346|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=379&pn=346|An Act amending the act of November 10, 1999 (P.L.491, No.45), known as the Pennsylvania Construction Code Act, providing for deconstruction standards; and imposing penalties....|Representative ISAACSON|NEILSON, GIRAL, MADDEN and SANCHEZ|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:05:01 GMT|20230HB379P346
House Bill 378 Printer's Number 345|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=378&pn=345|An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, providing for opioid stewardship; establishing the Opioid Reparation and Accountability Fund and the Opiate Epidemic Response Advisory Council; and imposing duties on the Department of Health, the Department of Human Services and the Department of Drug and Alcohol Programs....|Representative ISAACSON|BURGOS, CIRESI, GIRAL, HILL-EVANS, HOHENSTEIN, MADDEN, SANCHEZ and D. WILLIAMS|Referred to HUMAN SERVICES,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:04:36 GMT|20230HB378P345
House Bill 377 Printer's Number 344|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=377&pn=344|An Act amending Title 68 (Real and Personal Property) of the Pennsylvania Consolidated Statutes, in general provisions relating to residential real property, further providing for definitions; and, in seller disclosures, further providing for application of chapter and providing for disclosure of construction defects....|Representative ISAACSON|CIRESI, GIRAL, MADDEN, McNEILL, PARKER and SANCHEZ|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:04:11 GMT|20230HB377P344
House Bill 376 Printer's Number 343|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=376&pn=343|An Act amending Titles 18 (Crimes and Offenses) and 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in sexual offenses, providing for the offense of fertility fraud; in particular rights and immunities, providing for damages in actions for fertility fraud; and, in sentencing, further providing for applicability, for sexual offenses and tier system and for period of registration....|Representative ISAACSON|CIRESI, GIRAL, HANBIDGE, HILL-EVANS, KINKEAD, KINSEY, MADDEN, O'MARA and SANCHEZ|Referred to JUDICIARY,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:03:46 GMT|20230HB376P343
House Bill 375 Printer's Number 342|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=375&pn=342|An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in sexual offenses, providing for the offense of unsolicited dissemination of intimate image....|Representative ISAACSON|SCHLOSSBERG, GALLOWAY, HOHENSTEIN, MADDEN and SANCHEZ|Referred to JUDICIARY,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:03:15 GMT|20230HB375P342
House Bill 374 Printer's Number 341|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=374&pn=341|An Act prohibiting the harassment of homeowners by real estate professionals and construction companies; and imposing penalties.|Representative ISAACSON|HOHENSTEIN, KRAJEWSKI, MADDEN, NEILSON, PARKER and SANCHEZ|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:02:52 GMT|20230HB374P341
House Bill 373 Printer's Number 340|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=373&pn=340|An Act providing for leave for blood donation for State and school employees.|Representative ISAACSON|FREEMAN, CIRESI, GIRAL, MADDEN and SANCHEZ|Referred to LABOR AND INDUSTRY,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:02:27 GMT|20230HB373P340
House Bill 372 Printer's Number 339|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=372&pn=339|An Act amending the act of April 6, 1951 (P.L.69, No.20), known as The Landlord and Tenant Act of 1951, in preliminary provisions, providing for effect of declaration of disaster emergency; and imposing a penalty....|Representative ISAACSON|SCHLOSSBERG, HILL-EVANS, HOHENSTEIN, HOWARD, KINKEAD, KRAJEWSKI, MADDEN, OTTEN, SANCHEZ and D. WILLIAMS|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:01:56 GMT|20230HB372P339
House Bill 371 Printer's Number 338|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=371&pn=338|An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in preliminary provisions, further providing for definitions; and, in licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for license districts, license period and hearings, for issuance, transfer or extension of hotel, restaurant and club liquor licenses, for malt and brewed beverages manufacturers', distributors' and importing distributors' licenses and for malt and brewed beverages retail licenses....|Representative ISAACSON|HARKINS, BENHAM, GIRAL, KINKEAD, PARKER and SANCHEZ|Referred to LIQUOR CONTROL,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:01:32 GMT|20230HB371P338
House Bill 370 Printer's Number 337|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=370&pn=337|An Act amending the act of December 3, 1998 (P.L.925, No.115), known as the Domestic Violence Health Care Response Act, further providing for definitions; providing for domestic abuse reporting by health care practitioners; and making editorial changes....|Representative ISAACSON|CONKLIN, GALLOWAY, GIRAL, HILL-EVANS, HOHENSTEIN, HOWARD, KINKEAD, MADDEN, PROBST, SANCHEZ and SOLOMON|Referred to HEALTH,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:01:04 GMT|20230HB370P337
House Bill 369 Printer's Number 336|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=369&pn=336|An Act providing for the Same-Day Work and Pay Pilot Program; providing for program and for program operation; imposing duties on the Department of Conservation and Natural Resources; and establishing the Same-Day Work and Pay Account....|Representative ISAACSON|GIRAL, HILL-EVANS, MADDEN and SANCHEZ|Referred to LABOR AND INDUSTRY,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 12:00:00 GMT|20230HB369P336
House Bill 368 Printer's Number 335|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=368&pn=335|An Act amending the act of December 12, 1986 (P.L.1559, No.169), known as the Whistleblower Law, further providing for remedies and for enforcement....|Representative ISAACSON|SCHLOSSBERG, GIRAL, HILL-EVANS, HOHENSTEIN, MADDEN and SANCHEZ|Referred to LABOR AND INDUSTRY,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:59:29 GMT|20230HB368P335
House Bill 367 Printer's Number 334|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=367&pn=334|An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in development, providing for hydraulic fracturing fluid tracer....|Representative ISAACSON|FREEMAN, CIRESI, GUENST, KHAN, MADDEN and SANCHEZ|Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:59:04 GMT|20230HB367P334
House Bill 366 Printer's Number 333|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=366&pn=333|An Act amending the act of April 6, 1951 (P.L.69, No.20), known as The Landlord and Tenant Act of 1951, in creation of leases, statute of frauds and mortgaging of leaseholds, providing for rental applications....|Representative ISAACSON|T. DAVIS, GIRAL, HILL-EVANS, KAZEEM, KRAJEWSKI, MADDEN, McNEILL, RABB, SANCHEZ and SMITH-WADE-EL|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:58:41 GMT|20230HB366P333
House Bill 365 Printer's Number 332|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=365&pn=332|An Act amending Title 30 (Fish) of the Pennsylvania Consolidated Statutes, in fishing licenses, further providing for exemptions from license requirements....|Representative NEILSON|McNEILL, HANBIDGE and HOHENSTEIN|Referred to GAME AND FISHERIES,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:58:10 GMT|20230HB365P332
House Bill 364 Printer's Number 331|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=364&pn=331|An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, providing for the Pennsylvania Amber Alert System for Abducted and Missing Persons, the Missing Endangered Person Advisory System (MEPAS) and the Green Alert System and for duties of the Pennsylvania State Police; assessing costs; providing for immunity and penalties; and making a repeal....|Representative MARKOSEK|SANCHEZ, KINSEY, MADDEN, CERRATO, DELLOSO, HILL-EVANS, HARKINS, GALLOWAY and DEASY|Referred to JUDICIARY,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:57:08 GMT|20230HB364P331
House Bill 363 Printer's Number 330|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=363&pn=330|An Act providing for the exclusion of veterans' disability benefits as eligible income.|Representative MARKOSEK|HOHENSTEIN, CERRATO, SANCHEZ, KAZEEM, MADDEN, KINSEY, CIRESI, HILL-EVANS, SCHLOSSBERG, DELLOSO, JAMES, HARKINS, McNEILL, DEASY, FREEMAN and INNAMORATO|Referred to FINANCE,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:56:39 GMT|20230HB363P330
House Bill 362 Printer's Number 329|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=362&pn=329|An Act providing for marina health and safety.|Representative PISCIOTTANO|MADDEN, MARKOSEK, SANCHEZ and HILL-EVANS|Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:55:09 GMT|20230HB362P329
House Bill 361 Printer's Number 328|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=361&pn=328|An Act establishing the Prevailing Wage Co-Enforcement Program; and providing for duties of the Department of Labor and Industry and participants in the Prevailing Wage Co-Enforcement Program....|Representative PISCIOTTANO|SIEGEL, MADDEN, PROBST, McNEILL, SANCHEZ, BENHAM, MARKOSEK, KINSEY, SCHLOSSBERG, PARKER, HOHENSTEIN, HILL-EVANS, KINKEAD, NEILSON, DEASY, DELLOSO, HOWARD, WARREN, KHAN and KAZEEM|Referred to LABOR AND INDUSTRY,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:54:31 GMT|20230HB361P328
House Bill 360 Printer's Number 327|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=360&pn=327|An Act amending the act of March 28, 1984 (P.L.150, No.28), known as the Automobile Lemon Law, further providing for definitions, for repair obligations, for manufacturer's duty for refund or replacement and for presumption of a reasonable number of attempts....|Representative PISCIOTTANO|MADDEN, D. WILLIAMS, T. DAVIS, FREEMAN, SANCHEZ, HILL-EVANS, GUENST, KHAN, GALLOWAY, SCHWEYER, JAMES, DELLOSO, WARNER, DEASY, CIRESI, KEEFER and MALAGARI|Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:53:25 GMT|20230HB360P327
House Bill 359 Printer's Number 326|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=359&pn=326|An Act amending Title 64 (Public Authorities and Quasi-Public Corporations) of the Pennsylvania Consolidated Statutes, in Commonwealth Financing Authority, further providing for indebtedness....|Representative PISCIOTTANO|SCHLOSSBERG, HADDOCK, HILL-EVANS, BURGOS, SANCHEZ and DEASY|Referred to COMMERCE,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:52:54 GMT|20230HB359P326
House Bill 358 Printer's Number 325|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=358&pn=325|An Act providing for Keystone First Responder Award.|Representative R. MACKENZIE|M. BROWN, CONKLIN, GILLEN, HAMM, M. MACKENZIE, NEILSON, ROWE, SIEGEL and ZIMMERMAN|Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:52:32 GMT|20230HB358P325
House Bill 357 Printer's Number 324|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=357&pn=324|An Act amending the act of July 23, 1970 (P.L.563, No.195), known as the Public Employe Relations Act, in definitions, further providing for definitions; and, in scope of bargaining, providing for political contributions....|Representative R. MACKENZIE|M. BROWN, FLICK, HAMM, IRVIN, KAUFFMAN, LEADBETER, M. MACKENZIE, MENTZER, MOUL, ROWE, SMITH, STAMBAUGH, TOPPER, KEEFER and JAMES|Referred to LABOR AND INDUSTRY,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:52:01 GMT|20230HB357P324
House Bill 286 Printer's Number 323|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=286&pn=323|An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in licensing of drivers, further providing for suspension of operating privilege for failure to respond to citation....|Representative KRAJEWSKI|KINSEY, MADDEN, HANBIDGE, SANCHEZ, WARREN, FIEDLER, STURLA, KINKEAD, OTTEN, SMITH-WADE-EL, HOHENSTEIN, O'MARA and KHAN|Referred to TRANSPORTATION,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:51:22 GMT|20230HB286P323
House Bill 285 Printer's Number 322|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=285&pn=322|An Act amending Titles 23 (Domestic Relations), 42 (Judiciary and Judicial Procedure) and 44 (Law and Justice) of the Pennsylvania Consolidated Statutes, in proceedings prior to petition to adopt, further providing for grounds for involuntary termination; in juvenile matters, further providing for disposition of dependent child; and providing for provisions relating to certain arrest protocols....|Representative KRAJEWSKI|KINSEY, CONKLIN, MADDEN, RABB, HILL-EVANS, SANCHEZ, HOWARD, FIEDLER, FLEMING and FRANKEL|Referred to CHILDREN AND YOUTH,  March 14, 2023|NO|NO|NO|Tue, 14 Mar 2023 11:50:57 GMT|20230HB285P322
House Bill 1 Printer's Number 4|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1&pn=4|A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for courts to be open and suits against the Commonwealth....|Representative ROZZI|McCLINTON, BRADFORD, D. MILLER, T. DAVIS, SCHLOSSBERG, KRUEGER, HARRIS and BIZZARRO|Re-committed to JUDICIARY,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 12:06:28 GMT|20230HB1P4
House Resolution 38 Printer's Number 321|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=38&pn=321|A Resolution directing the Joint State Government Commission to conduct a study on public transportation services for individuals with disabilities, establish a legislative task force and advisory committee and issue a report of findings and recommendations to the House of Representatives....|Representative D. MILLER|SHUSTERMAN, MADDEN, PROBST, HILL-EVANS, SCHLOSSBERG, HOHENSTEIN, WAXMAN, FREEMAN, GUENST, RABB, SANCHEZ, N. NELSON, CIRESI, KINKEAD and FLEMING|Referred to TRANSPORTATION,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:16:36 GMT|20230HR38P321
House Resolution 36 Printer's Number 320|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=36&pn=320|"A Resolution designating February 5 through 11, 2023, as ""Future Business Leaders of America (FBLA) Week"" in Pennsylvania."|Representative MAKO|R. MACKENZIE, PICKETT, JAMES, HAMM, SAMUELSON, HEFFLEY, ROWE, STAATS, MOUL, DEASY, MERSKI and GILLEN|Referred to COMMERCE,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:16:20 GMT|20230HR36P320
House Bill 356 Printer's Number 319|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=356&pn=319|An Act amending the act of December 17, 1959 (P.L.1913, No.694), known as the Equal Pay Law, providing for pay ranges....|Representative ISAACSON|BURGOS, HILL-EVANS, HOHENSTEIN, HOWARD, KINSEY, MADDEN, RABB, SANCHEZ and D. WILLIAMS|Referred to LABOR AND INDUSTRY,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:16:02 GMT|20230HB356P319
House Bill 355 Printer's Number 318|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=355&pn=318|An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in firearms and other dangerous articles, further providing for sale or transfer of firearms, for duties of the Pennsylvania State Police and for altering or obliterating marks of identification and providing for destruction of confiscated or recovered firearms....|Representative ISAACSON|STURLA, CIRESI, GIRAL, KINKEAD, KRAJEWSKI, MADDEN, PARKER, SANCHEZ and HOHENSTEIN|Referred to JUDICIARY,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:15:40 GMT|20230HB355P318
House Bill 354 Printer's Number 317|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=354&pn=317|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in terms and courses of study, providing for menstruation education....|Representative ISAACSON|CIRESI, GIRAL, GUENST, HILL-EVANS, HOHENSTEIN, MADDEN, PARKER, PROBST, SANCHEZ and MAYES|Referred to HEALTH,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:15:21 GMT|20230HB354P317
House Bill 353 Printer's Number 316|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=353&pn=316|A Joint Resolution proposing separate and distinct amendments to the Constitution of the Commonwealth of Pennsylvania, providing for an economic bill of rights....|Representative ISAACSON|SCHLOSSBERG, GIRAL, HILL-EVANS and SANCHEZ|Referred to COMMERCE,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:15:01 GMT|20230HB353P316
House Bill 352 Printer's Number 315|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=352&pn=315|An Act amending the act of April 6, 1951 (P.L.69, No.20), known as The Landlord and Tenant Act of 1951, in recovery of possession, further providing for escrow funds limited....|Representative ISAACSON|GIRAL, HILL-EVANS, HOHENSTEIN, KINKEAD, MADDEN, McNEILL and SANCHEZ|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:14:44 GMT|20230HB352P315
House Bill 351 Printer's Number 314|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=351&pn=314|An Act amending Title 15 (Corporations and Unincorporated Associations) of the Pennsylvania Consolidated Statutes, in general provisions relating to nonprofit corporations, providing for eligibility for receipt of State resources....|Representative D. MILLER|CIRESI, HILL-EVANS, MADDEN, GIRAL, McNEILL, HOHENSTEIN, DELLOSO, SCHLOSSBERG, SANCHEZ, PROBST, BENHAM, BURGOS, RABB, D. WILLIAMS, FIEDLER, DEASY, KINSEY, KINKEAD and N. NELSON|Referred to LABOR AND INDUSTRY,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:14:22 GMT|20230HB351P314
House Bill 350 Printer's Number 313|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=350&pn=313|An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, adding provisions relating to establishment of parent-child relationship for certain individuals; providing for voluntary acknowledgment of parentage, for registry of paternity, for genetic testing, for proceeding to adjudicate parentage, for assisted reproduction, for surrogacy agreements and for information about donors....|Representative D. MILLER|SANCHEZ, MADDEN, PROBST, CEPEDA-FREYTIZ, DELLOSO, HANBIDGE, GUENST, KINKEAD, HOWARD and N. NELSON|Referred to CHILDREN AND YOUTH,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:14:03 GMT|20230HB350P313
House Bill 349 Printer's Number 312|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=349&pn=312|An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, in general provisions, further providing for definitions; in Commonwealth services, further providing for definitions relating to intrastate mutual aid and for definitions relating to Fire and Emergency Medical Services Loan Program; in volunteer firefighters, further providing for definitions relating to fire relief association; in emergency responder mental wellness and stress management, further providing for definitions; in grants to fire companies and emergency medical services companies, further providing for definitions; and, in incentives for municipal volunteers of fire companies and nonprofit emergency medical services agencies, further providing for definitions....|Representative D. MILLER|BENHAM, SANCHEZ, MADDEN, GIRAL, GUENST, HILL-EVANS, KINSEY, McNEILL, GAYDOS, SCHLOSSBERG, DELLOSO, D. WILLIAMS, KINKEAD, N. NELSON, CONKLIN and INNAMORATO|Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:13:46 GMT|20230HB349P312
House Bill 348 Printer's Number 311|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=348&pn=311|An Act amending Title 71 (State Government) of the Pennsylvania Consolidated Statutes, in civil service reform, providing for excepted service hiring and promotion authority; and imposing duties on the Office of Vocational Rehabilitation....|Representative D. MILLER|MERCURI, KINSEY, MADDEN, SANCHEZ, HOHENSTEIN, HILL-EVANS, FLEMING, HARKINS, DEASY and KHAN|Referred to LABOR AND INDUSTRY,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:13:26 GMT|20230HB348P311
House Bill 347 Printer's Number 310|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=347&pn=310|An Act amending the act of June 1, 1937 (P.L.1168, No.294), known as the Pennsylvania Labor Relations Act, further providing for definitions....|Representative D. MILLER|BURGOS, GUZMAN, HOHENSTEIN, SANCHEZ, GUENST, MADDEN, HANBIDGE, RABB, PARKER, PASHINSKI, KINKEAD, HILL-EVANS, CIRESI, CONKLIN, FIEDLER, KRAJEWSKI, FREEMAN, N. NELSON, KHAN, BULLOCK, YOUNG and GREEN|Referred to LABOR AND INDUSTRY,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:13:07 GMT|20230HB347P310
House Bill 346 Printer's Number 309|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=346&pn=309|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in safe schools, further providing for reporting....|Representative D. MILLER|ORTITAY, SCHLOSSBERG, RABB, McNEILL, HANBIDGE, KINSEY, MADDEN, T. DAVIS, SANCHEZ, SHUSTERMAN, SCHWEYER, NEILSON, DEASY, BRIGGS and GREEN|Referred to EDUCATION,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:12:42 GMT|20230HB346P309
House Bill 345 Printer's Number 308|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=345&pn=308|An Act amending the act of July 23, 1970 (P.L.563, No.195), known as the Public Employe Relations Act, in strikes, providing for health care benefits during strikes....|Representative D. MILLER|BENHAM, SCHLOSSBERG, PISCIOTTANO, GUENST, DELLOSO, HILL-EVANS, HARKINS, SANCHEZ, MADDEN, NEILSON, CIRESI, GALLOWAY, FIEDLER, KRAJEWSKI, SHUSTERMAN, DEASY, FREEMAN, KINKEAD, OTTEN and O'MARA|Referred to LABOR AND INDUSTRY,  March 13, 2023|NO|NO|NO|Mon, 13 Mar 2023 11:12:25 GMT|20230HB345P308
